zip_code,city_name
77449,"Houston, Texas"
11368,"New York, New York"
60629,"Chicago, Illinois"
79936,"El Paso, TX, Texas"
90011,"Los Angeles, California"
11385,"New York, New York"
90650,"Los Angeles, California"
77494,"Houston, Texas"
91331,"Los Angeles, California"
77084,"Houston, Texas"
90201,"Los Angeles, California"
10467,"New York, New York"
11226,"New York, New York"
11211,"New York, New York"
11236,"New York, New York"
11220,"New York, New York"
92335,"Riverside, California"
8701,"New York, New Jersey"
11208,"New York, New York"
11234,"New York, New York"
90250,"Los Angeles, California"
11373,"New York, New York"
91342,"Los Angeles, California"
90805,"Los Angeles, California"
75034,"Dallas, Texas"
37013,"Nashville, Tennessee"
90280,"Los Angeles, California"
60618,"Chicago, Illinois"
90044,"Los Angeles, California"
10456,"New York, New York"
92503,"Riverside, California"
10025,"New York, New York"
92336,"Riverside, California"
11214,"New York, New York"
75052,"Dallas, Texas"
11219,"New York, New York"
94565,"San Francisco, California"
75070,"Dallas, Texas"
78521,"Brownsville, Texas"
11207,"New York, New York"
92683,"Los Angeles, California"
60632,"Chicago, Illinois"
60639,"Chicago, Illinois"
92704,"Los Angeles, California"
11230,"New York, New York"
10314,"New York, New York"
11377,"New York, New York"
30044,"Atlanta, Georgia"
91710,"Riverside, California"
77479,"Houston, Texas"
